rank,title,artist
1,Ordinary,Alex Warren
2,Daisies,Justin Bieber
3,What I Want,Morgan Wallen Featuring Tate McRae
4,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
5,Just In Case,Morgan Wallen
6,A Bar Song (Tipsy),Shaboozey
7,Love Me Not,Ravyn Lenae
8,What Did I Miss?,Drake
9,Lose Control,Teddy Swims
10,Die With A Smile,Lady Gaga & Bruno Mars
11,Luther,Kendrick Lamar & SZA
12,I'm The Problem,Morgan Wallen
13,Manchild,Sabrina Carpenter
14,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
15,Pink Pony Club,Chappell Roan
16,Beautiful Things,Benson Boone
17,Yukon,Justin Bieber
18,Go Baby,Justin Bieber
19,I Had Some Help,Post Malone Featuring Morgan Wallen
20,Mutt,Leon Thomas
21,All I Can Take,Justin Bieber
22,Birds Of A Feather,Billie Eilish
23,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
24,Good News,Shaboozey
25,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
26,Mystical Magical,Benson Boone
27,I Got Better,Morgan Wallen
28,Jump,BLACKPINK
29,All The Way,BigXthaPlug Featuring Bailey Zimmerman
30,Sorry I'm Here For Someone Else,Benson Boone
31,Nokia,Drake
32,Blue Strips,Jessie Murph
33,Way It Is,Justin Bieber & Gunna
34,Undressed,sombr
35,Things You Do,Justin Bieber
36,Worst Way,Riley Green
37,Walking Away,Justin Bieber
38,Back To Friends,sombr
39,Anxiety,Doechii
40,APT.,ROSE & Bruno Mars
41,Free,"Rumi, JINU, EJAE & Andrew Choi"
42,Chains & Whips,Clipse Featuring Kendrick Lamar
43,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
44,Backup Plan,Bailey Zimmerman & Luke Combs
45,Weren't For The Wind,Ella Langley
46,30 For 30,SZA With Kendrick Lamar
47,Burning Blue,Mariah The Scientist
48,Love Somebody,Morgan Wallen
49,Butterflies,Justin Bieber
50,Kick Out,Travis Scott
51,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
52,After All The Bars Are Closed,Thomas Rhett
53,Champain & Vacay,Travis Scott & Don Toliver
54,Dumbo,Travis Scott
55,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea"
56,Devotion,Justin Bieber & Dijon
57,Sweet Spot,Justin Bieber & Sexyy Red
58,6 Months Later,Megan Moroney
59,First Place,Justin Bieber
60,20 Cigarettes,Morgan Wallen
61,Outside,Cardi B
62,So Be It,Clipse
63,Just Keep Watching,Tate McRae
64,Happen To Me,Russell Dickerson
65,P.O.V.,"Clipse Featuring Tyler, The Creator"
66,Wildflower,Billie Eilish
67,I Ain't Coming Back,Morgan Wallen Featuring Post Malone
68,In Your Fantasy,ATEEZ
69,Amen,Shaboozey & Jelly Roll
70,Swag,"Justin Bieber, Cash Cobain & Eddie Benjamin"
71,Superman,Morgan Wallen
72,2000 Excursion,"Travis Scott, Sheck Wes & Don Toliver"
73,Indigo,Sam Barber Featuring Avery Anna
74,Where Was You,"Travis Scott, Playboi Carti & Future"
75,River Washed Hair,Zach Bryan
76,Bloodline,Alex Warren With Jelly Roll
77,Bottle Rockets,Scotty McCreery & Hootie & The Blowfish
78,Ace Trumpets,Clipse
79,Too Long,Justin Bieber
80,Fix What You Didn't Break,Nate Smith
81,Single Again,Josh Ross
82,House Again,Hudson Westbrook
83,Glory Voice Memo,Justin Bieber
84,Dadz Love,Justin Bieber & Lil B
85,Folded,Kehlani
86,405,Justin Bieber
87,Your Way's Better,Forrest Frank
88,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
89,Whim Whamiee,PLUTO & YKNIECE
90,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE"
91,TN,Morgan Wallen
92,The Birds Don't Sing,Clipse Featuring John Legend & Voices Of Fire
93,Shyne,Travis Scott & GloRilla
94,Party 4 U,Charli xcx
95,M.T.B.T.T.F.,Clipse
96,Nuevayol,Bad Bunny
97,EOO,Bad Bunny
98,Twilight Zone,Ariana Grande
99,Rather Lie,Playboi Carti & The Weeknd
100,Marlboro Rojo,Fuerza Regida
