rank,title,artist,genre
1,Ordinary,Alex Warren,Unknown
2,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",K-pop; Pop; R&b
3,What I Want,Morgan WallenFeaturingTate McRae,Unknown
4,Daisies,Justin Bieber,Unknown
5,Just In Case,Morgan Wallen,Unknown
6,Love Me Not,Ravyn Lenae,Alternative r&b; R&b; Neo soul
7,Lose Control,Teddy Swims,Pop; R&b; Soul; Rock
8,A Bar Song (Tipsy),Shaboozey,Country; Americana; Hip-hop
9,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",K-pop; R&b
10,Die With A Smile,Lady Gaga&Bruno Mars,Unknown
11,I'm The Problem,Morgan Wallen,Unknown
12,Luther,Kendrick Lamar&SZA,Unknown
13,Manchild,Sabrina Carpenter,Unknown
14,Pink Pony Club,Chappell Roan,Unknown
15,Beautiful Things,Benson Boone,Unknown
16,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",K-pop; R&b
17,Good News,Shaboozey,Country; Americana; Hip-hop
18,Mutt,Leon Thomas,Free jazz; Blues; Soul jazz
19,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",K-pop; Pop; R&b
20,I Had Some Help,Post MaloneFeaturingMorgan Wallen,Unknown
21,Miami,Morgan WallenFeaturingLil Wayne&Rick Ross,Unknown
22,Birds Of A Feather,Billie Eilish,Unknown
23,Which One,Drake& Central Cee,Uk rap; Trap; Uk drill; Pop rap
24,I Got Better,Morgan Wallen,Unknown
25,Mystical Magical,Benson Boone,Unknown
26,Sorry I'm Here For Someone Else,Benson Boone,Unknown
27,All The Way,BigXthaPlug FeaturingBailey Zimmerman,Unknown
28,Free,"Rumi, JINU, EJAE & Andrew Choi",K-pop; Pop; R&b
29,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",K-pop; Pop; R&b
30,Undressed,sombr,Indie rock; Alternative pop
31,What Did I Miss?,Drake,Unknown
32,Back To Friends,sombr,Indie rock; Alternative pop
33,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",K-pop; Pop; R&b
34,Blue Strips,jessie murph,Unknown
35,Backup Plan,Bailey Zimmerman&Luke Combs,Country; Country rock; Southern rock
36,30 For 30,SZAWithKendrick Lamar,Unknown
37,Nokia,Drake,Unknown
38,Back In The Saddle,Luke Combs,Country
39,Crazy Train,Ozzy Osbourne,Unknown
40,Yukon,Justin Bieber,Unknown
41,Burning Blue,Mariah the Scientist,R&b
42,After All The Bars Are Closed,Thomas Rhett,Country
43,It Depends,Chris BrownFeaturingBryson Tiller,Unknown
44,Worst Way,Riley Green,Country
45,APT.,ROSE &Bruno Mars,Unknown
46,Love Somebody,Morgan Wallen,Unknown
47,Ring Ring Ring,"Tyler, the Creator",Unknown
48,"Mama, I'm Coming Home",Ozzy Osbourne,Unknown
49,Happen To Me,Russell Dickerson,Country pop
50,Eternity,Alex Warren,Unknown
51,Sugar On My Tongue,"Tyler, the Creator",Unknown
52,20 Cigarettes,Morgan Wallen,Unknown
53,6 Months Later,Megan Moroney,Country
54,Folded,Kehlani,R&b; Los angeles times; Pop; Axs; Hip-hop; Xxl; Neo soul
55,Wildflower,Billie Eilish,Unknown
56,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",Dancehall; Afropop; Afrofusion
57,I Ain't Coming Back,Morgan WallenFeaturingPost Malone,Unknown
58,Just Keep Watching,Tate McRae,Unknown
59,Big Poe,"Tyler, the CreatorFeaturing Sk8brd",Unknown
60,Outside,Cardi B,Unknown
61,Jump,BLACKPINK,K-pop; Edm; Hip-hop; Trap
62,Better Me For You (Brown Eyes),Max McNown,Country; Folk rock; Americana
63,Bottle Rockets,Scotty McCreery&Hootie & the Blowfish,Country
64,Amen,Shaboozey&Jelly Roll,Country; Americana; Hip-hop
65,Fix What You Didn't Break,Nate Smith,Unknown
66,I'll Take Care Of You,"Tyler, the Creator",Unknown
67,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE",Unknown
68,House Again,Hudson Westbrook,Country
69,Superman,Morgan Wallen,Unknown
70,Twilight Zone,Ariana Grande,Unknown
71,Party 4 U,Charli xcx,Dance-pop; Electropop; Pop-punk; Alternative pop; Hyperpop
72,Your Way's Better,Forrest Frank,Unknown
73,Sucka Free,"Tyler, the Creator",Unknown
74,Strategy,Twice,K-pop; J-pop; Bubblegum pop; Dance-pop; Edm
75,No Broke Boys,Disco Lines &Tinashe,Template:infobox musical artist/doc#genre; R&b; Pop; Alternative r&b
76,Bloodline,Alex WarrenWithJelly Roll,Unknown
77,TN,Morgan Wallen,Unknown
78,Hard Fought Hallelujah,Brandon LakeX Jelly Roll,Contemporary worship music; Ccm
79,Sparks,Coldplay,Alternative rock; Pop rock; Post-britpop; Pop
80,Bar None,Jordan Davis,Unknown
81,Went Legit,G Herbo,Midwestern hip-hop; Drill; Trap
82,Don't You Worry Baby,"Tyler, the CreatorFeaturing Madison McFerrin",Unknown
83,Frecuencia,Dareyes de La Sierra,Unknown
84,Park,Tyler Hubbard,Country; Country pop; Country rock
85,Rather Lie,Playboi Carti&The Weeknd,Unknown
86,Nice To Meet You,Myles Smith,Folk-pop
87,Somewhere Over Laredo,Lainey Wilson,Country
88,EOO,Bad Bunny,Unknown
89,Go Baby,Justin Bieber,Unknown
90,Whim Whamiee,PLUTO & YKNIECE,Unknown
91,Marlboro Rojo,Fuerza Regida,Regional mexican; Corridos tumbados; Sinaloan banda; Norteño; Mariachi; Reggaeton; Hip-hop; Edm; Country
92,Revolving Door,Tate McRae,Unknown
93,Typa,Glorilla,Unknown
94,Nuevayol,Bad Bunny,Unknown
95,Stop Playing With Me,"Tyler, the Creator",Unknown
96,Madeline,Zach BryanFeaturing Gabriella Rose,Unknown
97,Mommanem,"Tyler, the Creator",Unknown
98,River Washed Hair,Zach Bryan,Alt-country; Honky-tonk; Country rock; Billboard
99,Don't Tap That Glass / Tweakin',"Tyler, the Creator",Unknown
100,Tu Sancho,Fuerza Regida,Regional mexican; Corridos tumbados; Sinaloan banda; Norteño; Mariachi; Reggaeton; Hip-hop; Edm; Country
